rank,video_id,title,view_count,duration,url
151,joTCXKSR81o,'Feminist Nonsense!' Netflix 'Adolescence' Sparks Toxic Masculinity Debate | Feat Andrew Wilson,1700000,2477,https://www.youtube.com/watch?v=joTCXKSR81o
152,Baunu5oi5Sc,"""Weeping for MURDERERS!"" Immigration And Pardons Debate | Feat Lara Trump",1700000,3247,https://www.youtube.com/watch?v=Baunu5oi5Sc
153,pKCB-MhBP7I,"""A MASSIVE Cover-Up"" Jordan Peterson On Tommy Robinson & Grooming Scandal",1700000,4632,https://www.youtube.com/watch?v=pKCB-MhBP7I
154,Fqm2mJ9Qg74,“You Should Be ASHAMED!” Mehdi Hasan vs Ex-IDF Jonathan Conricus,1700000,2241,https://www.youtube.com/watch?v=Fqm2mJ9Qg74
155,7xdVdzaQzP8,"""WILDLY Unhinged"" Eric Weinstein On Terrence Howard's Science",1700000,3263,https://www.youtube.com/watch?v=7xdVdzaQzP8
156,7R4xMxOJLmk,"""This is NOT The Way To Defeat Hamas"" Piers Morgan vs Mehdi Hasan",1700000,2400,https://www.youtube.com/watch?v=7R4xMxOJLmk
157,sg7EQV_rxpU,Zlatan Ibrahimovic Explains Fallout With Pep Guardiola At Barcelona,1700000,608,https://www.youtube.com/watch?v=sg7EQV_rxpU
158,Gy_py-rBiQw,Piers Morgan vs Mikhaila Peterson And Jordan Peterson | The Full Interview,1700000,2899,https://www.youtube.com/watch?v=Gy_py-rBiQw
159,rKoE9RqpRB4,"""What Is Going On!"" Piers Morgan Reacts To Children Identifying As Animals In Schools",1700000,878,https://www.youtube.com/watch?v=rKoE9RqpRB4
160,1zzXZOICjWA,Piers Morgan Asks Roseanne Barr 'What Is A Woman?' And Addresses Controversy,1700000,946,https://www.youtube.com/watch?v=1zzXZOICjWA
